rolling_window,feature_group,evaluation,test_season,rows,accuracy,log_loss,brier_score
expanding,all,walk_forward,2020,256,0.546875,0.6892858760616902,0.24453242263276226
expanding,all,walk_forward,2021,272,0.6029411764705882,0.6626031758681636,0.23510055586324505
expanding,all,walk_forward,2022,271,0.5867158671586716,0.6677908864794718,0.23759871746228997
expanding,all,walk_forward,2023,272,0.5588235294117647,0.6783119596134017,0.24264827896771066
expanding,all,walk_forward,2024,272,0.6102941176470589,0.6539425459642347,0.23109940289929776
expanding,all,walk_forward,2025,272,0.5845588235294118,0.6730007222297749,0.24026916020420977
expanding,all,fixed_holdout,all,544,0.5955882352941176,0.6631401421699217,0.23552477315068884
expanding,epa,walk_forward,2020,256,0.54296875,0.6770697859279861,0.2422706128817273
expanding,epa,walk_forward,2021,272,0.5955882352941176,0.6631415040755906,0.23536388704887504
expanding,epa,walk_forward,2022,271,0.5830258302583026,0.6676698381279071,0.23755159617813085
expanding,epa,walk_forward,2023,272,0.5477941176470589,0.6787261994882662,0.24284274100501665
expanding,epa,walk_forward,2024,272,0.6066176470588235,0.6533793170947924,0.23081324328484562
expanding,epa,walk_forward,2025,272,0.5882352941176471,0.673142006344652,0.2403461878868395
expanding,epa,fixed_holdout,all,544,0.5955882352941176,0.6630439237795647,0.235475078155284
expanding,epa_pace,walk_forward,2020,256,0.54296875,0.6777326005078597,0.24258029732396313
expanding,epa_pace,walk_forward,2021,272,0.6029411764705882,0.6629908938871436,0.2352774364795078
expanding,epa_pace,walk_forward,2022,271,0.5830258302583026,0.6680697531318407,0.23773790248817206
expanding,epa_pace,walk_forward,2023,272,0.5551470588235294,0.6789521859141822,0.24293937927824166
expanding,epa_pace,walk_forward,2024,272,0.6029411764705882,0.6538261710263938,0.23103276277364634
expanding,epa_pace,walk_forward,2025,272,0.5845588235294118,0.6730112824081378,0.24028379571202046
expanding,epa_pace,fixed_holdout,all,544,0.59375,0.6630935992924815,0.23550158366821586
expanding,epa_rest,walk_forward,2020,256,0.546875,0.6884890931229276,0.2441919831247878
expanding,epa_rest,walk_forward,2021,272,0.5992647058823529,0.6627614257694375,0.23519115728779144
expanding,epa_rest,walk_forward,2022,271,0.5867158671586716,0.6673934881653397,0.23741354753124622
expanding,epa_rest,walk_forward,2023,272,0.5514705882352942,0.6780826586274808,0.24254938655074856
expanding,epa_rest,walk_forward,2024,272,0.6102941176470589,0.653488614845132,0.23087664019903772
expanding,epa_rest,walk_forward,2025,272,0.5882352941176471,0.6731324918846533,0.24033208714078547
expanding,epa_rest,fixed_holdout,all,544,0.5955882352941176,0.6630890749478917,0.23549767727767912
expanding,pace,walk_forward,2020,256,0.4921875,0.7071093394178566,0.25686573408735147
expanding,pace,walk_forward,2021,272,0.5110294117647058,0.6913726597449806,0.24912292923677082
expanding,pace,walk_forward,2022,271,0.5682656826568265,0.6825518485180244,0.24473010193572708
expanding,pace,walk_forward,2023,272,0.5551470588235294,0.6843941937523008,0.24565979152588446
expanding,pace,walk_forward,2024,272,0.5330882352941176,0.6834705388332581,0.24519521325513996
expanding,pace,walk_forward,2025,272,0.5551470588235294,0.6880562009294378,0.24746150149088972
expanding,pace,fixed_holdout,all,544,0.5386029411764706,0.6858906080328238,0.24639181795229265
expanding,rest,walk_forward,2020,256,0.49609375,0.7126913308537167,0.25642379687841
expanding,rest,walk_forward,2021,272,0.5147058823529411,0.6945854227429561,0.25071460041243204
expanding,rest,walk_forward,2022,271,0.5571955719557196,0.6868441160764971,0.2468547582886956
expanding,rest,walk_forward,2023,272,0.5551470588235294,0.6868071184512159,0.24683689590395322
